(row player, column player);best_gen_chrom_0;best_gen_chrom_1;best_gen_chrom_2;best_gen_chrom_3;best_gen_chrom_4;low_defect_tolerance;mid_defect_tolerance;high_defect_toleranc;always_defect;always_cooperate;pure_random_choice;tit_for_tat;random_strategy_1;random_strategy_2;random_strategy_3
best_gen_chrom_0;(142, 142);(142, 142);(142, 142);(142, 142);(142, 142);(41, 101);(49, 94);(202, 72);(37, 102);(202, 72);(109, 109);(121, 121);(139, 89);(131, 126);(83, 93)
best_gen_chrom_1;(142, 142);(142, 142);(142, 142);(142, 142);(142, 142);(41, 101);(49, 94);(202, 72);(37, 102);(202, 72);(113, 103);(121, 121);(139, 89);(131, 126);(83, 93)
best_gen_chrom_2;(142, 142);(142, 142);(142, 142);(142, 142);(142, 142);(48, 98);(49, 94);(202, 72);(0, 250);(202, 72);(117, 97);(121, 121);(141, 86);(131, 126);(86, 111)
best_gen_chrom_3;(142, 142);(142, 142);(142, 142);(142, 142);(142, 142);(50, 100);(49, 94);(132, 72);(0, 250);(224, 39);(107, 117);(121, 121);(136, 91);(131, 126);(127, 137)
best_gen_chrom_4;(142, 142);(142, 142);(142, 142);(142, 142);(142, 142);(48, 98);(49, 94);(202, 72);(0, 250);(202, 72);(127, 107);(121, 121);(141, 86);(131, 126);(88, 113)
low_defect_tolerance;(101, 41);(101, 41);(98, 48);(100, 50);(98, 48);(50, 50);(60, 55);(151, 146);(50, 50);(152, 147);(126, 96);(60, 55);(114, 34);(124, 139);(102, 37)
mid_defect_tolerance;(94, 49);(94, 49);(94, 49);(94, 49);(94, 49);(55, 60);(150, 150);(150, 150);(49, 54);(150, 150);(102, 147);(150, 150);(116, 41);(80, 190);(97, 42)
high_defect_toleranc;(72, 202);(72, 202);(72, 202);(72, 132);(72, 202);(146, 151);(150, 150);(150, 150);(49, 54);(150, 150);(85, 180);(150, 150);(94, 179);(77, 192);(76, 181)
always_defect;(102, 37);(102, 37);(250, 0);(250, 0);(250, 0);(50, 50);(54, 49);(54, 49);(50, 50);(250, 0);(138, 28);(54, 49);(114, 34);(246, 1);(102, 37)
always_cooperate;(72, 202);(72, 202);(72, 202);(39, 224);(72, 202);(147, 152);(150, 150);(150, 150);(0, 250);(150, 150);(87, 192);(150, 150);(99, 184);(3, 248);(72, 202)
pure_random_choice;(89, 124);(95, 130);(102, 117);(99, 99);(107, 117);(70, 125);(155, 105);(174, 84);(29, 134);(198, 78);(102, 102);(106, 101);(127, 97);(81, 126);(128, 113)
tit_for_tat;(121, 121);(121, 121);(121, 121);(121, 121);(121, 121);(55, 60);(150, 150);(150, 150);(49, 54);(150, 150);(123, 123);(150, 150);(137, 137);(130, 130);(85, 90)
random_strategy_1;(89, 139);(89, 139);(86, 141);(91, 136);(86, 141);(34, 114);(41, 116);(179, 94);(34, 114);(184, 99);(106, 111);(137, 137);(106, 106);(44, 199);(75, 195)
random_strategy_2;(126, 131);(126, 131);(126, 131);(126, 131);(126, 131);(139, 124);(190, 80);(192, 77);(1, 246);(248, 3);(114, 104);(130, 130);(199, 44);(108, 108);(77, 162)
random_strategy_3;(93, 83);(93, 83);(111, 86);(137, 127);(113, 88);(37, 102);(42, 97);(181, 76);(37, 102);(202, 72);(124, 134);(90, 85);(195, 75);(162, 77);(76, 76)
