(row player, column player);best_gen_chrom_0;best_gen_chrom_1;best_gen_chrom_2;best_gen_chrom_3;best_gen_chrom_4;low_defect_tolerance;mid_defect_tolerance;high_defect_toleranc;always_defect;always_cooperate;pure_random_choice;tit_for_tat;random_strategy_1;random_strategy_2;random_strategy_3
best_gen_chrom_0;37, 37;37, 37;37, 37;37, 37;37, 37;95, 113;93, 108;66, 45;95, 113;53, 11;84, 72;74, 71;99, 87;78, 69;77, 80
best_gen_chrom_1;37, 37;37, 37;37, 37;37, 37;37, 37;95, 113;93, 108;66, 45;95, 113;53, 11;62, 59;74, 71;99, 87;78, 69;77, 80
best_gen_chrom_2;37, 37;37, 37;37, 37;37, 37;37, 37;95, 113;93, 108;66, 45;95, 113;53, 11;59, 41;74, 71;99, 87;78, 69;77, 80
best_gen_chrom_3;37, 37;37, 37;37, 37;37, 37;37, 37;95, 113;93, 108;53, 20;95, 113;53, 11;61, 76;67, 64;99, 87;64, 73;77, 80
best_gen_chrom_4;37, 37;37, 37;37, 37;37, 37;37, 37;95, 113;93, 108;53, 20;95, 113;53, 11;70, 58;67, 64;99, 87;79, 82;77, 80
low_defect_tolerance;113, 95;113, 95;113, 95;113, 95;113, 95;125, 125;109, 106;28, 25;125, 125;27, 24;65, 50;109, 106;109, 85;39, 36;113, 95
mid_defect_tolerance;108, 93;108, 93;108, 93;108, 93;108, 93;106, 109;25, 25;25, 25;120, 123;25, 25;49, 58;25, 25;99, 81;22, 49;108, 93
high_defect_toleranc;45, 66;45, 66;45, 66;20, 53;20, 53;25, 28;25, 25;25, 25;120, 123;25, 25;27, 54;25, 25;24, 48;21, 51;35, 62
always_defect;113, 95;113, 95;113, 95;113, 95;113, 95;125, 125;123, 120;123, 120;125, 125;75, 0;93, 45;123, 120;109, 85;77, 5;113, 95
always_cooperate;11, 53;11, 53;11, 53;11, 53;11, 53;24, 27;25, 25;25, 25;0, 75;25, 25;12, 51;25, 25;16, 43;1, 73;12, 51
pure_random_choice;48, 54;64, 67;60, 66;47, 53;56, 62;49, 67;63, 63;53, 20;60, 99;43, 16;73, 73;54, 51;40, 64;58, 61;57, 48
tit_for_tat;71, 74;71, 74;71, 74;64, 67;64, 67;106, 109;25, 25;25, 25;120, 123;25, 25;48, 48;25, 25;35, 35;41, 41;78, 81
random_strategy_1;87, 99;87, 99;87, 99;87, 99;87, 99;85, 109;81, 99;48, 24;85, 109;43, 16;61, 58;35, 35;73, 73;38, 56;19, 52
random_strategy_2;69, 78;69, 78;69, 78;73, 64;82, 79;36, 39;49, 22;51, 21;5, 77;73, 1;61, 79;41, 41;56, 38;69, 69;39, 63
random_strategy_3;80, 77;80, 77;80, 77;80, 77;80, 77;95, 113;93, 108;62, 35;95, 113;51, 12;67, 55;81, 78;52, 19;63, 39;101, 101
